City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Oak Ridge,US,2022-07-17 04:35:43,36.0104,-84.2696,79.65,71,0,0.0
159,Inhambane,MZ,2022-07-17 04:26:26,-23.865,35.3833,62.58,94,40,4.61
160,Axim,GH,2022-07-17 04:35:44,4.8699,-2.2405,74.91,83,100,9.19
161,Sinor,IN,2022-07-17 04:35:44,21.9167,73.3333,82.42,69,72,12.35
162,Villa Maria,AR,2022-07-17 04:35:44,-32.4075,-63.2402,36.41,79,1,5.55
163,Broome,US,2022-07-17 04:35:45,42.2506,-75.833,68.38,85,0,3.44
164,Muros,ES,2022-07-17 04:28:53,42.7762,-9.0603,65.08,92,29,2.33
165,Komsomolskiy,UZ,2022-07-17 04:35:45,40.4272,71.7189,90.32,23,0,4.61
166,Vore,AL,2022-07-17 04:35:45,41.3908,19.655,62.02,88,0,2.3
167,Port Elizabeth,ZA,2022-07-17 04:35:46,-33.918,25.5701,55.69,58,0,4.61
168,Ikryanoye,RU,2022-07-17 04:35:46,46.0932,47.7308,84.18,38,24,12.91
169,Alofi,NU,2022-07-17 04:35:46,-19.0595,-169.9187,76.89,78,10,12.66
170,Bambous Virieux,MU,2022-07-17 04:35:47,-20.3428,57.7575,72.21,73,40,13.8
171,Sept-Iles,CA,2022-07-17 04:35:47,50.2001,-66.3821,58.05,87,75,8.05
172,Caorle,IT,2022-07-17 04:35:47,45.5966,12.8758,75.72,70,3,19.84
173,Karratha,AU,2022-07-17 04:29:02,-20.7377,116.8463,76.6,30,1,6.44
174,Ahuimanu,US,2022-07-17 04:35:48,21.4447,-157.8378,83.91,84,100,18.41
175,Kologriv,RU,2022-07-17 04:35:48,58.8275,44.3178,66.06,63,70,2.21
176,Chokurdakh,RU,2022-07-17 04:35:49,70.6333,147.9167,47.19,36,38,17.67
177,Saint George,US,2022-07-17 04:35:23,37.1041,-113.5841,100.99,19,0,6.91
178,Camopi,GF,2022-07-17 04:35:49,3.1655,-52.3158,70.38,99,89,1.21
179,Vardo,NO,2022-07-17 04:34:22,70.3705,31.1107,53.58,94,100,9.22
180,Dingle,PH,2022-07-17 04:35:49,10.9995,122.6711,86.65,72,93,9.24
181,Rawson,AR,2022-07-17 04:35:50,-43.3002,-65.1023,38.34,59,36,12.84
182,San Pedro,PH,2022-07-17 04:34:25,14.35,121.0167,88.32,71,75,10.36
183,Buraydah,SA,2022-07-17 04:35:50,26.326,43.975,88.25,10,100,7.9
184,Rundu,NA,2022-07-17 04:35:51,-17.9333,19.7667,44.62,61,0,5.91
185,Grindavik,IS,2022-07-17 04:28:58,63.8424,-22.4338,48.15,100,75,1.14
186,Ahipara,NZ,2022-07-17 04:27:44,-35.1667,173.1667,57.42,62,29,4.83
187,Necochea,AR,2022-07-17 04:36:51,-38.5473,-58.7368,38.53,65,18,12.88
188,Bargteheide,DE,2022-07-17 04:36:52,53.7333,10.2667,54.9,89,83,5.79
189,Bathsheba,BB,2022-07-17 04:36:52,13.2167,-59.5167,81.21,95,75,24.16
190,Mattru,SL,2022-07-17 04:36:52,7.6244,-11.8332,72.3,98,97,1.77
