City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
178,Portland,45.5234,-122.6762,84.81,55,20,7.0,US,few clouds
179,Huntsville,34.7304,-86.5861,96.31,64,75,9.22,US,broken clouds
180,Dubbo,-32.25,148.6167,44.73,87,79,10.36,AU,broken clouds
181,Leningradskiy,69.3833,178.4167,34.63,99,100,11.1,RU,light snow
182,Clyde River,70.4692,-68.5914,43.03,93,100,13.8,CA,light rain
183,Padang,-0.9492,100.3543,77.05,88,81,3.87,ID,broken clouds
184,Rundu,-17.9333,19.7667,63.81,32,73,4.54,NA,broken clouds
185,Nikolskoye,59.7035,30.7861,66.09,81,0,2.68,RU,clear sky
186,North Bend,43.4065,-124.2243,68.92,71,75,13.8,US,broken clouds
187,Camara De Lobos,32.6333,-16.9667,73.71,85,40,21.85,PT,scattered clouds
188,Bella Vista,36.4295,-94.2316,104.04,30,0,5.75,US,clear sky
189,Arraial Do Cabo,-22.9661,-42.0278,73.26,78,0,8.05,BR,clear sky
190,Lagoa,39.05,-27.9833,72.77,84,94,5.21,PT,overcast clouds
191,Mahuta,-10.8667,39.45,60.48,95,0,1.97,TZ,clear sky
192,Pevek,69.7008,170.3133,32.02,99,100,8.72,RU,snow
193,Tasiilaq,65.6145,-37.6368,41.16,78,85,2.53,GL,overcast clouds
194,Turochak,52.2576,87.1224,55.78,98,100,3.62,RU,light rain
195,Fuerte,17.5381,120.3644,83.1,71,22,9.19,PH,few clouds
196,Peterhead,57.5058,-1.7981,56.44,85,100,7.78,GB,overcast clouds
197,Berbera,10.4396,45.0143,90.48,40,9,22.35,SO,clear sky
198,Odienne,9.51,-7.5692,71.58,95,21,3.94,CI,light rain
199,Fortuna,40.5982,-124.1573,62.65,75,42,8.52,US,scattered clouds
200,Ternate,0.8,127.4,79.74,77,97,4.25,ID,overcast clouds
201,Provideniya,64.3833,-173.3,44.71,76,100,15.99,RU,overcast clouds
202,Ekibastuz,51.6667,75.3667,69.04,52,3,8.55,KZ,clear sky
203,College,64.8569,-147.8028,62.92,66,100,0.0,US,overcast clouds
204,Omboue,-1.5746,9.2618,72.5,89,99,7.85,GA,overcast clouds
205,Ligayan,4.6533,119.4706,83.08,73,100,3.53,PH,overcast clouds
206,Mehamn,71.0357,27.8492,58.95,100,75,2.3,NO,light rain
207,Alcantara,-2.4089,-44.4147,86.2,64,56,2.57,BR,light rain
208,Novyy Urengoy,66.0833,76.6333,43.25,85,100,7.65,RU,overcast clouds
209,Markovo,57.3206,107.0881,54.9,92,98,1.25,RU,overcast clouds
210,La Romana,18.4273,-68.9728,82.76,83,75,13.8,DO,broken clouds
211,Atar,20.5169,-13.0499,97.93,27,8,12.12,MR,clear sky
212,Half Moon Bay,37.4636,-122.4286,88.54,69,40,19.57,US,scattered clouds
213,Sieradz,51.5958,18.7302,77.5,69,7,9.13,PL,clear sky
214,Gornozavodsk,58.3758,58.3211,52.5,96,13,1.68,RU,few clouds
215,Malyn,50.7723,29.2383,64.58,70,26,10.58,UA,scattered clouds
216,Port-Gentil,-0.7193,8.7815,75.16,88,40,11.5,GA,scattered clouds
217,Gobabis,-22.45,18.9667,55.22,36,0,9.8,NA,clear sky
218,Tianpeng,30.9866,103.9393,75.67,97,100,8.03,CN,moderate rain
219,Cururupu,-1.8283,-44.8683,81.41,71,70,4.56,BR,broken clouds
220,Aitape,-3.1374,142.3475,77.7,88,100,3.83,PG,overcast clouds
221,Ponta Do Sol,32.6667,-17.1,73.71,79,3,7.29,PT,clear sky
222,Klaksvik,62.2266,-6.589,50.92,89,10,7.14,FO,clear sky
223,Biak,-0.9131,122.8766,74.95,88,25,6.62,ID,scattered clouds
224,Saint-Francois,46.4154,3.9054,71.04,64,0,0.0,FR,clear sky
225,Matara,5.9485,80.5353,77.94,86,100,14.81,LK,light rain
226,Yayva,59.3303,57.2641,54.28,95,7,0.65,RU,clear sky
227,Skagen,57.7209,10.5839,63.93,87,100,9.84,DK,overcast clouds
228,Asau,46.4333,26.4,67.28,42,0,5.86,RO,clear sky
229,Sola,-13.8833,167.55,80.31,81,62,17.43,VU,broken clouds
230,Inuyama,35.38,136.9429,77.02,100,75,1.14,JP,broken clouds
231,Vao,-22.6667,167.4833,73.38,90,10,19.75,NC,clear sky
232,Jamestown,42.097,-79.2353,85.01,53,75,18.41,US,broken clouds
233,Chokurdakh,70.6333,147.9167,48.38,43,0,8.19,RU,clear sky
234,Hammerfest,70.6634,23.6821,52.25,100,75,6.91,NO,light rain
235,San Jose,37.3394,-121.895,91.9,44,0,8.05,US,clear sky
236,Qaqortoq,60.7167,-46.0333,50.31,77,9,4.7,GL,clear sky
237,Ust-Tsilma,65.441,52.1498,56.19,71,23,5.39,RU,few clouds
238,Faanui,-16.4833,-151.75,77.31,73,11,11.52,PF,light rain
239,Nueva Helvecia,-34.3,-57.2333,57.6,81,100,8.66,UY,light rain
240,Martinsicuro,42.8811,13.9145,84.13,99,0,3.74,IT,clear sky
241,Quatre Cocos,-20.2078,57.7625,69.91,68,91,19.01,MU,overcast clouds
242,Miri,4.4148,114.0089,78.94,94,20,0.0,MY,few clouds
243,Ojinaga,29.5667,-104.4167,104.95,25,0,10.36,MX,clear sky
244,Hovd,48.0056,91.6419,61.9,45,98,3.98,MN,overcast clouds
245,Anadyr,64.75,177.4833,50.5,61,20,11.18,RU,few clouds
246,Bethel,41.3712,-73.414,93.34,68,20,13.8,US,few clouds
